,Title,Date,Venue,Link
195,d4vd - All Ages Show,2024-02-08,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/b97f5ea4-7337-4369-afaa-00484945dd68?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
196,BLIND GUARDIAN (GER) - 2ND SHOW,2024-02-08,Northcote Theatre,https://www.moshtix.com.au/v2/event/blind-guardian-ger-2nd-show/158509
197,BLIND GUARDIAN (GER),2024-02-09,Northcote Theatre,https://www.moshtix.com.au/v2/event/blind-guardian-ger/155460
198,THE VELVET CLUB,2024-02-09,Howler,https://www.moshtix.com.au/v2/event/the-velvet-club/159875
199,Unknown Mortal Orchestra,2024-02-09,Forum Melbourne,/shows/show.aspx?sh=UMORCH24&v=FRM
200,Russian Circles 'GNOSIS' Australian tour,2024-02-09,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/4d184d12-82f0-41c4-9e97-d5e874d933a4?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
201,Russian Circles 'GNOSIS' Australian tour,2024-02-10,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/3ca17b5f-b92e-43d8-af95-6f685416d756?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
202,Katatonia,2024-02-10,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/7738aef5-6957-49cd-9a78-6ec80dae2254?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
203,JACK DAVIES AND THE BUSH CHOOKS ALBUM TOUR,2024-02-10,Howler,https://www.moshtix.com.au/v2/event/jack-davies-and-the-bush-chooks-album-tour/159940
204,"BIG CITY LIGHTS, 2024 ft. GUY J , NICOLAS RADA & more",2024-02-11,Northcote Theatre,https://www.moshtix.com.au/v2/event/big-city-lights-2024-ft-guy-j-nicolas-rada-more/159825
205,Northlane,2024-02-11,Forum Melbourne,/shows/show.aspx?sh=NORTHLA24&v=FRM
